"SC","名称","市場","業種","時価総額(百万円)","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"2612","かどや製油","東証ST","食料品","34028","9400000","2.76","100","14.18","0.94","255.34","3847.33","362000","100","20250324","3830","20250407","3500"
"2613","J-オイルミルズ","東証PR","食料品","67385","33508446","3.48","70","10.23","0.63","196.52","3190.06","201100","100","20250106","2177","20250407","1830"
"261A","日水コン","東証ST","サービス","24207","11866000","3.14","64","16.14","1.7","126.41","1198.24","204000","100","20250221","2440","20250106","1410"
"262A","インターメスティック","東証PR","小売","52693","30600000","2.49","42.9","14.05","2.29","122.55","753.55","172200","100","20250107","2776","20250407","1288"
"264A","Schoo","東証GR","サービス","17819","12426180","0","0","33.56","9.53","42.73","150.49","143400","100","20250218","1766","20250106","1079"
"2652","まんだらけ","東証ST","小売","11469","36180000","0.32","1","6.95","0.95","45.63","333.92","31700","100","20250107","424","20250409","260"
"2653","イオン九州","東証ST","小売","88965","34833558","1.96","50","16.42","1.58","155.54","1617.23","255400","100","20250121","2878","20250407","2230"
"2654","アスモ","東証ST","小売","5165","15145175","2.93","10","15.83","0.69","21.54","493.82","34100","100","20250425","359","20250407","306"
"2656","ベクターホールディングス","東証ST","小売","2526","20047000","0","0","-","4.36","-34.28","28.92","12600","100","20250502","163","20250407","65"
"2659","サンエー","東証PR","小売","181848","63963308","3.52","100","15.97","1.17","177.97","2433.93","284300","100","20250326","3220","20250409","2612"
"265A","Hmcomm","東証GR","情報通信","3086","4093400","0","0","35.89","1.79","21.01","421.87","75400","100","20250106","1270","20250407","599"
"2664","カワチ薬品","東証PR","小売","68219","24583420","2.88","80","12.65","0.54","219.39","5120.32","277500","100","20250423","3035","20250110","2501"
"2666","オートウェーブ","東証ST","小売","2168","14451000","2","3","7.94","0.53","18.89","280.68","15000","100","20250326","177","20250407","111"
