"SC","名称","市場","業種","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","VWAP","出来高","出来高率(％)","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率(％)","安値日付","年初来安値","年初来安値乖離率(％)"
"3393","スターティアホールディングス","東証PR","卸売","20250502","2085","-30","-1.42","2115","2119","2122","2085","2096.96","22900","0.22","48020","21351","1615","2615","20250217","2433","14.3","20250407","1750","19.14"
"3395","サンマルクホールディングス","東証PR","小売","20250502","2520","-22","-0.87","2542","2542","2555","2499","2519.38","111400","0.49","280659","57812","2042","3045","20250106","2725","7.52","20250407","2115","19.15"
"3396","フェリシモ","東証ST","小売","20250502","791","-9","-1.13","800","800","807","770","793.69","13900","0.14","11032","7944","650","950","20250109","837","5.5","20250407","695","13.81"
"3397","トリドールホールディングス","東証PR","小売","20250502","4284","-22","-0.51","4306","4275","4287","4235","4267.81","201200","0.23","858683","378855","3606","5006","20250422","4473","4.23","20250114","3578","19.73"
"3399","丸千代山岡家","東証ST","小売","20250502","4600","65","1.43","4535","4490","4655","4475","4593.03","121200","1.21","556675","46259","3835","5240","20250106","5020","8.37","20250407","3065","50.08"
"339A","プログレス・テクノロジーズ_グループ","東証GR","サービス","20250502","1475","9","0.61","1466","1466","1475","1452","1466.05","5500","0.07","8063","11475","1166","1766","20250328","1980","25.51","20250407","1222","20.7"
"3401","帝人","東証PR","繊維製品","20250502","1193","7","0.59","1186","1187","1199","1185.5","1192.94","517000","0.26","616751","236159","886","1486","20250319","1404","15.03","20250409","1076","10.87"
"3402","東レ","東証PR","繊維製品","20250502","914.8","11.3","1.25","903.5","903.5","914.8","900.5","910.08","6703700","0.41","6100928","1492479","753.5","1053.5","20250205","1108","17.44","20250409","818","11.83"
"3405","クラレ","東証PR","化学","20250502","1678","17","1.02","1661","1665.5","1685.5","1656.5","1673.98","1280800","0.39","2144036","545121","1261","2061","20250127","2372","29.26","20250407","1466","14.46"
"3407","旭化成","東証PR","化学","20250502","1009.5","7.5","0.75","1002","1004.5","1018","1004","1011.48","3340400","0.24","3378740","1378727","702","1302","20250327","1119","9.79","20250407","880","14.72"
"3409","北日本紡績","東証ST","繊維製品","20250502","180","-3","-1.64","183","185","195","176","186.65","647000","2.54","120762","4587","133","233","20250402","209","13.88","20250108","99","81.82"
"340A","ジグザグ","東証GR","情報通信","20250502","1800","8","0.45","1792","1815","1815","1768","1785.58","29000","1.26","51782","4141","1392","2192","20250331","2199","18.14","20250407","1313","37.09"
"3415","TOKYO_BASE","東証PR","小売","20250502","262","-2","-0.76","264","263","265","260","262.19","211200","0.49","55375","11386","184","344","20250205","361","27.42","20250407","218","20.18"
"3416","ピクスタ","東証GR","小売","20250502","910","-17","-1.83","927","927","927","908","917.6","4300","0.19","3946","2090","777","1077","20250106","1259","27.72","20250407","735","23.81"
"3417","大木ヘルスケアホールディングス","東証ST","卸売","20250502","829","12","1.47","817","818","836","803","824.73","49200","0.35","40577","11666","667","967","20250226","888","6.64","20250407","655","26.56"
"3418","バルニバービ","東証GR","小売","20250502","1139","-3","-0.26","1142","1140","1143","1130","1136.29","16100","0.15","18294","12486","842","1442","20250328","1206","5.56","20250407","990","15.05"
"341A","トヨコー","東証GR","建設","20250502","1188","-41","-3.34","1229","1213","1236","1129","1179.38","334800","2.57","394855","15476","929","1529","20250421","1580","24.81","20250331","703","68.99"
"3420","ケー・エフ・シー","東証ST","金属製品","20250502","1363","30","2.25","1333","1337","1374","1337","1362.62","2100","0.03","2862","10056","1033","1633","20250416","1425","4.35","20250407","1200","13.58"
"3421","稲葉製作所","東証ST","金属製品","20250502","1714","18","1.06","1696","1695","1724","1692","1709.9","17600","0.1","30094","29176","1296","2096","20250106","1800","4.78","20250407","1455","17.8"
"3422","J-MAX","東証ST","金属製品","20250502","310","-1","-0.32","311","315","316","310","312.38","8700","0.07","2718","3676","231","391","20250107","336","7.74","20250407","266","16.54"
"3423","エスイー","東証ST","金属製品","20250502","266","-1","-0.37","267","267","272","261","267.57","109300","0.35","29245","8314","187","347","20250220","285","6.67","20250407","238","11.76"
"3426","アトムリビンテック","東証ST","金属製品","20250502","1431","-16","-1.11","1447","1436","1436","1431","1434.33","300","0.01","430","5874","1147","1747","20250430","1629","12.15","20250408","1296","10.42"
"3431","宮地エンジニアリンググループ","東証PR","金属製品","20250502","1808","-2","-0.11","1810","1810","1813","1786","1802.25","113000","0.41","203654","50041","1410","2210","20250106","2025","10.72","20250407","1520","18.95"
"3433","トーカロ","東証PR","金属製品","20250502","1656","-1","-0.06","1657","1657","1674","1641","1658.42","138800","0.23","230188","101347","1257","2057","20250106","1875","11.68","20250407","1369","20.96"
"3434","アルファ","東証ST","金属製品","20250502","1077","1","0.09","1076","1095","1095","1077","1082.94","8000","0.08","8664","10985","776","1376","20250326","1241","13.22","20250407","965","11.61"
"3435","サンコーテクノ","東証ST","金属製品","20250502","1128","2","0.18","1126","1133","1133","1128","1130.67","1500","0.02","1696","9865","826","1426","20250212","1278","11.74","20250407","1050","7.43"
"3436","SUMCO","東証PR","金属製品","20250502","1001","13.4","1.36","987.6","986","1007","984.7","996.64","3342500","0.95","3331280","350525","837.6","1138","20250226","1288","22.28","20250407","746","34.18"
"3437","特殊電極","東証ST","金属製品","20250502","-","0","0","2481","-","-","-","-","-","0","-","3975","1981","2981","20250213","2540","100","20250407","2180","-100"
"3439","三ツ知","東証ST","金属製品","20250502","635","12","1.93","623","623","646","612","632.05","12100","0.23","7648","3368","523","723","20250203","730","13.01","20250407","562","12.99"
"343A","IACEトラベル","東証ST","サービス","20250502","888","7","0.79","881","885","892","876","880.21","21500","0.45","18925","4227","731","1031","20250407","994","10.66","20250409","782","13.55"
"3440","日創プロニティ","東証ST","金属製品","20250502","890","-8","-0.89","898","900","900","890","895.59","6100","0.09","5463","6081","748","1048","20250424","973","8.53","20250407","730","21.92"
"3441","山王","東証ST","金属製品","20250502","909","3","0.33","906","906","909","890","905.44","3200","0.06","2897","4545","756","1056","20250422","990","8.18","20250407","706","28.75"
"3443","川田テクノロジーズ","東証PR","金属製品","20250502","3130","-55","-1.73","3185","3180","3205","3095","3133.05","52500","0.3","164485","54694","2485","3885","20250214","3295","5.01","20250407","2435","28.54"
"3444","菊池製作所","東証ST","金属製品","20250502","272","-4","-1.45","276","274","275","269","271.58","15800","0.13","4291","3356","196","356","20250225","325","16.31","20250407","224","21.43"
"3445","RSTechnologies","東証PR","金属製品","20250502","2663","-41","-1.52","2704","2700","2710","2650","2673.92","111600","0.42","298410","70364","2204","3205","20250219","3660","27.24","20250409","2105","26.51"
"3446","ジェイテックコーポレーション","東証PR","金属製品","20250502","1084","-30","-2.69","1114","1115","1115","1078","1091.59","14700","0.25","16046","6385","814","1414","20250106","1566","30.78","20250407","860","26.05"
"3447","信和","東証ST","金属製品","20250502","725","0","0","725","727","727","720","723.71","21200","0.15","15343","10225","575","875","20250214","852","14.91","20250407","632","14.72"
"3449","テクノフレックス","東証ST","金属製品","20250502","1158","-20","-1.7","1178","1178","1181","1153","1164.36","17200","0.08","20027","24735","878","1478","20250502","1181","1.95","20250407","978","18.4"
"3452","ビーロット","東証ST","不動産","20250502","1280","14","1.11","1266","1274","1292","1266","1278.28","112700","0.56","144062","25641","966","1566","20250401","1469","12.87","20250407","1048","22.14"
"3454","ファーストブラザーズ","東証ST","不動産","20250502","1004","-10","-0.99","1014","1020","1020","1003","1005.14","20100","0.14","20203","14503","714","1314","20250107","1088","7.72","20250407","890","12.81"
"3457","And_Doホールディングス","東証PR","不動産","20250502","1334","-15","-1.11","1349","1338","1347","1334","1337.91","58000","0.29","77599","26565","1049","1649","20250423","1395","4.37","20250407","1112","19.96"
"3458","シーアールイー","東証PR","不動産","20250502","1695","1","0.06","1694","1695","1699","1695","1695.56","57500","0.2","97495","49834","1294","2094","20250130","1724","1.68","20250117","1225","38.37"
"3461","パルマ","東証ST","不動産","20250502","528","3","0.57","525","527","534","527","530.72","3600","0.05","1911","3572","425","625","20250207","636","16.98","20250407","408","29.41"
"3465","ケイアイスター不動産","東証PR","不動産","20250502","4945","-30","-0.6","4975","4960","4975","4890","4938.87","41300","0.26","203976","78446","4275","5680","20250501","5010","1.3","20250407","3945","25.35"
"3467","アグレ都市デザイン","東証ST","不動産","20250502","1646","1","0.06","1645","1645","1670","1643","1654.15","13200","0.23","21835","9471","1245","2045","20250327","1930","14.72","20250407","1430","15.1"
"3469","デュアルタップ","東証ST","不動産","20250502","1198","-1","-0.08","1199","1200","1200","1190","1194.1","6200","0.18","7403","4243","899","1499","20250403","1240","3.39","20250106","1055","13.55"
"3474","G-FACTORY","東証GR","不動産","20250502","575","-2","-0.35","577","577","580","575","576.32","2200","0.03","1268","3919","477","677","20250106","686","16.18","20250407","500","15"
"3475","グッドコムアセット","東証PR","不動産","20250502","1179","-33","-2.72","1212","1205","1213","1171","1186.46","413300","1.35","490362","35995","912","1512","20250418","1292","8.75","20250317","759","55.34"
"3477","フォーライフ","東証GR","不動産","20250502","628","-11","-1.72","639","639","640","628","634.79","1900","0.05","1206","2512","539","739","20250313","720","12.78","20250407","545","15.23"
"3479","ティーケーピー","東証GR","不動産","20250502","1949","64","3.4","1885","1885","1970","1875","1939.49","484700","1.14","940069","82665","1485","2285","20250502","1970","1.07","20250114","1215","60.41"
"3480","ジェイ・エス・ビー","東証PR","不動産","20250502","3520","-30","-0.85","3550","3530","3580","3460","3502.73","24500","0.11","85817","77171","2850","4250","20250430","3640","3.3","20250109","2605","35.12"
"3482","ロードスターキャピタル","東証PR","不動産","20250502","2577","13","0.51","2564","2586","2603","2557","2579.12","190300","0.89","490807","55261","2064","3065","20250214","2871","10.24","20250407","1969","30.88"
"3484","イノベーションホールディングス","東証PR","不動産","20250502","930","-6","-0.64","936","935","946","928","939.97","9000","0.05","8460","16437","786","1086","20250306","1038","10.4","20250407","854","8.9"
"3486","グローバル・リンク・マネジメント","東証PR","不動産","20250502","1933","-6","-0.31","1939","1939","1971","1923","1941.27","51500","0.32","99975","30951","1539","2339","20250401","1995","3.11","20250117","1324","46"
"3489","フェイスネットワーク","東証ST","不動産","20250502","1955","-10","-0.51","1965","1946","1978","1946","1958.77","17900","0.18","35062","19472","1565","2365","20250501","1999","2.2","20250407","1421","37.58"
"3490","アズ企画設計","東証ST","不動産","20250502","2419","1","0.04","2418","2418","2448","2408","2420.71","1400","0.12","3389","2922","1918","2918","20250226","2580","6.24","20250407","2113","14.48"
"3491","GA_technologies","東証GR","不動産","20250502","1401","-17","-1.2","1418","1429","1429","1390","1408.81","144600","0.35","203714","57457","1118","1718","20250117","1675","16.36","20250311","999","40.24"
"3494","マリオン","東証ST","不動産","20250502","335","-3","-0.89","338","338","338","332","334.92","8900","0.11","2981","2684","258","418","20250421","405","17.28","20250407","257","30.35"
"3495","香陵住販","東証ST","不動産","20250502","-","0","0","1835","-","-","-","-","-","0","-","5063","1435","2235","20250501","1835","100","20250407","1472","-100"
"3496","アズーム","東証GR","不動産","20250502","8230","90","1.11","8140","8290","8360","8020","8187.56","48000","0.8","393003","49630","6640","9640","20250501","8620","4.52","20250407","6250","31.68"
"3497","LeTech","東証GR","不動産","20250502","1493","-1","-0.07","1494","1494","1494","1493","1493.14","7100","0.15","10601","7277","1194","1794","20250331","1498","0.33","20250318","1224","21.98"
"3498","霞ヶ関キャピタル","東証PR","不動産","20250502","11950","-50","-0.42","12000","12050","12120","11750","11949.03","275000","2.78","3285982","118075","9000","15000","20250115","16300","26.69","20250407","9160","30.46"
"3501","SUMINOE","東証PR","繊維製品","20250502","1230","-15","-1.2","1245","1240","1247","1224","1232.13","58600","0.38","72203","18898","945","1545","20250501","1259","2.3","20250407","1020","20.59"
"350A","デジタルグリッド","東証GR","電気・ガス","20250502","4855","-235","-4.62","5090","5170","5190","4850","4959.06","691400","11.18","3428693","30020","4090","6090","20250423","6380","23.9","20250428","4820","0.73"
"3512","日本フエルト","東証ST","繊維製品","20250502","462","0","0","462","460","462","460","460.57","7200","0.04","3316","8474","382","542","20250326","507","8.88","20250407","423","9.22"
"3513","イチカワ","東証ST","繊維製品","20250502","1793","-9","-0.5","1802","1779","1802","1757","1779.95","5700","0.11","10146","8906","1402","2202","20250327","1987","9.76","20250130","1514","18.43"
"3521","エコナックホールディングス","東証ST","サービス","20250502","146","0","0","146","147","147","144","145.01","31800","0.12","4611","3864","96","196","20250227","202","27.72","20250106","115","26.96"
"3524","日東製網","東証ST","繊維製品","20250502","1366","-28","-2.01","1394","1391","1391","1363","1372.85","59000","2.26","80998","3558","1094","1694","20250415","1721","20.63","20250502","1363","0.22"
"3526","芦森工業","東証ST","輸送用機器","20250502","2673","-26","-0.96","2699","2700","2719","2670","2692.91","4400","0.07","11849","16190","2199","3200","20250212","3200","16.47","20250407","2414","10.73"
"3529","アツギ","東証ST","繊維製品","20250502","1053","1","0.1","1052","1052","1065","1035","1049.32","36500","0.21","38300","18238","752","1352","20250213","1161","9.3","20250407","809","30.16"
"352A","LIFE_CREATE","東証GR","サービス","20250502","1251","-10","-0.79","1261","1247","1259","1244","1249.36","49800","0.39","62218","15800","961","1561","20250428","1308","4.36","20250425","1153","8.5"
"3536","アクサスホールディングス","東証ST","小売","20250502","125","1","0.81","124","125","125","123","124.33","80800","0.27","10046","3791","74","174","20250331","139","10.07","20250407","111","12.61"
"3537","昭栄薬品","東証ST","卸売","20250502","1584","2","0.13","1582","1584","1584","1584","1584","300","0.01","475","5669","1182","1982","20250303","1926","17.76","20250407","1250","26.72"
"3538","ウイルプラスホールディングス","東証ST","小売","20250502","1002","-19","-1.86","1021","1018","1018","1000","1006.17","11000","0.11","11068","10423","721","1321","20250325","1055","5.02","20250407","826","21.31"
"3539","JMホールディングス","東証PR","小売","20250502","2432","2","0.08","2430","2427","2463","2412","2431.08","60500","0.24","147080","61966","1930","2930","20250423","2616","7.03","20250407","2103","15.64"
"3540","歯愛メディカル","東証ST","卸売","20250502","844","-23","-2.65","867","871","875","844","858.53","26300","0.05","22579","42200","717","1017","20250213","918","8.06","20250407","646","30.65"
"3541","農業総合研究所","東証GR","卸売","20250502","349","5","1.45","344","345","352","344","347.75","166400","0.76","57866","7687","264","424","20250423","383","8.88","20250107","240","45.42"
"3542","ベガコーポレーション","東証GR","小売","20250502","1136","-25","-2.15","1161","1148","1149","1106","1126.32","133900","1.25","150814","12147","861","1461","20250430","1200","5.33","20250109","621","82.93"
"3543","コメダホールディングス","東証PR","卸売","20250502","2859","-24","-0.83","2883","2875","2875","2838","2856.35","191700","0.41","547563","132279","2383","3385","20250423","2968","3.67","20250114","2627","8.83"
"3544","サツドラホールディングス","東証ST","小売","20250502","901","-4","-0.44","905","898","905","894","901.45","66400","0.47","59856","12827","755","1055","20250321","930","3.12","20250130","776","16.11"
"3546","アレンザホールディングス","東証PR","小売","20250502","1028","-8","-0.77","1036","1038","1058","1015","1039.5","32300","0.11","33576","31039","736","1336","20250108","1123","8.46","20250407","900","14.22"
"3547","串カツ田中ホールディングス","東証ST","小売","20250502","1372","-15","-1.08","1387","1388","1390","1372","1378.32","10200","0.11","14059","12936","1087","1687","20250423","1430","4.06","20250407","1169","17.37"
"3548","バロックジャパンリミテッド","東証PR","小売","20250502","729","4","0.55","725","724","729","721","725.77","89000","0.24","64594","26737","575","875","20250106","803","9.22","20250407","611","19.31"
"3549","クスリのアオキホールディングス","東証PR","小売","20250502","3428","13","0.38","3415","3407","3438","3388","3412.87","639800","0.61","2183554","360275","2715","4115","20250401","3485","1.64","20250409","2914","17.64"
"3550","スタジオアタオ","東証GR","小売","20250502","191","1","0.53","190","191","191","190","190.9","2000","0.01","382","2681","140","240","20250130","228","16.23","20250407","167","14.37"
"3551","ダイニック","東証ST","繊維製品","20250502","739","5","0.68","734","734","745","733","739.79","13100","0.15","9691","6285","584","884","20250324","817","9.55","20250407","648","14.04"
"3553","共和レザー","東証ST","化学","20250502","682","5","0.74","677","678","682","676","678.64","89100","0.36","60467","16709","577","777","20250326","754","9.55","20250407","571","19.44"
"3556","リネットジャパングループ","東証GR","小売","20250502","297","-3","-1","300","299","300","297","299.03","15600","0.11","4665","4337","220","380","20250423","308","3.57","20250407","210","41.43"
"3557","ユナイテッド＆コレクティブ","東証GR","小売","20250502","896","2","0.22","894","896","896","892","894.42","5700","0.13","5098","4061","744","1044","20250421","1049","14.59","20250409","840","6.67"
"3558","ジェイドグループ","東証GR","小売","20250502","1247","-11","-0.87","1258","1250","1269","1233","1246.56","66800","0.58","83270","14325","958","1558","20250106","1558","19.96","20250407","962","29.63"
"3559","ピーバンドットコム","東証ST","卸売","20250502","452","-8","-1.74","460","457","464","452","454.9","19200","0.38","8734","2254","380","540","20250221","899","49.72","20250107","364","24.18"
"3560","ほぼ日","東証ST","小売","20250502","3060","15","0.49","3045","3050","3060","3045","3054.38","800","0.03","2444","7105","2345","3745","20250110","3280","6.71","20250407","2990","2.34"
"3561","力の源ホールディングス","東証PR","小売","20250502","1302","4","0.31","1298","1305","1309","1280","1293.97","92600","0.31","119821","39461","998","1598","20250321","1543","15.62","20250117","894","45.64"
"3562","No.1","東証ST","卸売","20250502","1927","-26","-1.33","1953","1942","1961","1920","1935.89","27900","0.4","54011","13525","1553","2353","20250204","2152","10.46","20250407","1520","26.78"
"3563","FOOD＆LIFE_COMPANIES","東証PR","小売","20250502","5356","101","1.92","5255","5250","5369","5216","5308.18","1452700","1.25","7711187","621667","4255","6255","20250502","5369","0.24","20250117","3022","77.23"
"3565","アセンテック","東証ST","卸売","20250502","1221","-48","-3.78","1269","1253","1263","1197","1220.24","272200","1.87","332149","17802","969","1569","20250324","1332","8.33","20250205","857","42.47"
"3566","ユニフォームネクスト","東証GR","小売","20250502","560","19","3.51","541","561","588","545","566.94","27900","0.28","15818","5663","441","641","20250428","658","14.89","20250407","471","18.9"
"3569","セーレン","東証PR","繊維製品","20250502","2208","-6","-0.27","2214","2214","2224","2193","2207.73","81100","0.13","179047","142711","1714","2714","20250107","2820","21.7","20250407","2001","10.34"
"3571","ソトー","東証ST","繊維製品","20250502","668","6","0.91","662","664","670","661","664.25","5200","0.04","3454","9308","562","762","20250325","721","7.35","20250407","632","5.7"
"3577","東海染工","東証ST","繊維製品","20250502","920","1","0.11","919","914","935","914","924.5","1200","0.03","1109","3325","769","1069","20250327","1067","13.78","20250106","708","29.94"
"3580","小松マテーレ","東証PR","繊維製品","20250502","765","-2","-0.26","767","767","767","758","762.33","22800","0.05","17381","33003","617","917","20250106","845","9.47","20250407","690","10.87"
"3583","オーベクス","東証ST","繊維製品","20250502","1441","-9","-0.62","1450","1454","1470","1441","1451.76","1700","0.05","2468","4456","1150","1750","20250418","1545","6.73","20250121","1176","22.53"
"3591","ワコールホールディングス","東証PR","繊維製品","20250502","4989","-47","-0.93","5036","4995","5009","4951","4984.29","76000","0.14","378806","276890","4036","6036","20250127","5623","11.28","20250407","4639","7.54"
"3593","ホギメディカル","東証PR","繊維製品","20250502","4060","5","0.12","4055","4065","4080","4030","4057.56","50400","0.22","204501","91494","3355","4755","20250305","5080","20.08","20250417","4010","1.25"
"3597","自重堂","東証ST","繊維製品","20250502","9680","20","0.21","9660","9710","9710","9630","9674.29","700","0.02","6772","27906","8160","11160","20250304","9850","1.73","20250407","8760","10.5"
"3598","山喜","東証ST","繊維製品","20250502","158","-1","-0.63","159","159","159","158","158.54","5400","0.04","856","2362","109","209","20250327","205","22.93","20250407","134","17.91"
"3600","フジックス","東証ST","繊維製品","20250502","1560","29","1.89","1531","1542","1584","1522","1556.46","3900","0.27","6070","2290","1131","1931","20250327","1661","6.08","20250407","1460","6.85"
"3604","川本産業","東証ST","繊維製品","20250502","1198","-1","-0.08","1199","1197","1198","1197","1197.04","2400","0.04","2873","7188","899","1499","20250415","1486","19.38","20250106","769","55.79"
"3607","クラウディアホールディングス","東証ST","繊維製品","20250502","314","-2","-0.63","316","316","319","313","314.64","3600","0.04","1133","3042","236","396","20250324","380","17.37","20250407","250","25.6"
"3608","TSIホールディングス","東証PR","繊維製品","20250502","1089","16","1.49","1073","1073","1093","1067","1082.62","211000","0.28","228433","80701","773","1373","20250206","1352","19.45","20250414","947","14.99"
"3611","マツオカコーポレーション","東証ST","繊維製品","20250502","1845","40","2.22","1805","1805","1845","1795","1823.26","44900","0.43","81865","19433","1405","2205","20250213","2024","8.84","20250407","1370","34.67"
"3612","ワールド","東証PR","繊維製品","20250502","2494","-44","-1.73","2538","2540","2572","2489","2517.67","215000","0.63","541300","85771","2038","3040","20250318","2766","9.83","20250228","2297","8.58"
"3622","ネットイヤーグループ","東証GR","情報通信","20250502","453","-14","-3","467","464","464","451","456.88","13300","0.19","6077","3171","387","547","20250131","581","22.03","20250409","404","12.13"
"3623","ビリングシステム","東証GR","情報通信","20250502","1157","-18","-1.53","1175","1195","1195","1148","1164.39","18400","0.28","21425","7595","875","1475","20250106","1378","16.04","20250407","994","16.4"
"3624","アクセルマーク","東証GR","情報通信","20250502","88","-3","-3.3","91","90","92","88","89.64","455100","2.85","40795","1403","61","121","20250108","238","63.03","20250407","81","8.64"
"3625","テックファームホールディングス","東証GR","情報通信","20250502","670","0","0","670","671","678","654","663.31","29200","0.39","19369","5035","570","770","20250214","768","12.76","20250407","483","38.72"
"3626","TIS","東証PR","情報通信","20250502","4187","15","0.36","4172","4168","4229","4152","4199.55","649300","0.27","2726765","989109","3472","4872","20250328","4335","3.41","20250124","3331","25.7"
"3627","テクミラホールディングス","東証ST","情報通信","20250502","282","1","0.36","281","281","283","279","280.86","18800","0.15","5280","3553","201","361","20250114","346","18.5","20250407","250","12.8"
"3628","データホライゾン","東証GR","情報通信","20250502","414","-3","-0.72","417","418","420","405","411.27","15400","0.12","6334","5263","337","497","20250228","774","46.51","20250407","341","21.41"
"3632","グリーホールディングス","東証PR","情報通信","20250502","524","-2","-0.38","526","529","530","521","525.83","225600","0.13","118628","94189","426","626","20250331","628","16.56","20250114","439","19.36"
"3633","GMOペパボ","東証ST","情報通信","20250502","1391","-19","-1.35","1410","1421","1421","1388","1403.9","5800","0.11","8143","7607","1110","1710","20250205","1599","13.01","20250407","1254","10.93"
"3634","ソケッツ","東証ST","情報通信","20250502","556","-8","-1.42","564","556","556","556","556","300","0.01","167","1377","464","664","20250331","639","12.99","20250407","462","20.35"
"3635","コーエーテクモホールディングス","東証PR","情報通信","20250502","2491","67","2.76","2424","2439","2515","2425.5","2478.42","926300","0.28","2295762","837217","1924","2924","20250502","2515","0.95","20250110","1728","44.16"
"3636","三菱総合研究所","東証PR","情報通信","20250502","4430","-30","-0.67","4460","4460","4495","4425","4453.09","24100","0.15","107320","71075","3760","5160","20250217","5070","12.62","20250407","3880","14.18"
"3639","ボルテージ","東証ST","情報通信","20250502","244","2","0.83","242","241","248","241","245.42","51800","0.79","12713","1591","162","322","20250220","251","2.79","20250407","198","23.23"
"3640","電算","東証ST","情報通信","20250502","1572","-5","-0.32","1577","1577","1579","1567","1575.63","2700","0.05","4254","9176","1177","1977","20250204","1742","9.76","20250407","1342","17.14"
"3641","パピレス","東証ST","情報通信","20250502","862","-1","-0.12","863","863","869","862","863.67","1500","0.01","1296","8902","713","1013","20250210","1000","13.8","20250407","781","10.37"
"3645","メディカルネット","東証GR","情報通信","20250502","327","2","0.62","325","325","327","323","325.08","12400","0.12","4031","3523","245","405","20250130","338","3.25","20250407","264","23.86"
"3646","駅探","東証GR","情報通信","20250502","341","2","0.59","339","340","345","340","341.4","4500","0.07","1536","2052","259","419","20250326","432","21.06","20250407","293","16.38"
"3647","ジー・スリーホールディングス","東証ST","情報通信","20250502","123","10","8.85","113","113","124","113","120.48","983000","5.07","118434","2383","63","163","20250218","181","32.04","20250407","92","33.7"
"3648","AGS","東証ST","情報通信","20250502","828","-18","-2.13","846","838","846","827","832.8","15700","0.09","13075","14348","696","996","20250130","1008","17.86","20250407","671","23.4"
"3649","ファインデックス","東証PR","情報通信","20250502","710","7","1","703","705","717","704","710.55","32200","0.12","22880","18892","553","853","20250213","956","25.73","20250407","598","18.73"
"3652","ディジタルメディアプロフェッショナル","東証GR","情報通信","20250502","1818","-21","-1.14","1839","1845","1845","1777","1811.46","20000","0.63","36229","5731","1439","2239","20250217","2255","19.38","20250407","1300","39.85"
"3653","モルフォ","東証GR","情報通信","20250502","1132","-26","-2.25","1158","1160","1169","1114","1143.2","100800","1.83","115234","6236","858","1458","20250214","1536","26.3","20250407","871","29.97"
"3655","ブレインパッド","東証PR","情報通信","20250502","1059","23","2.22","1036","1034","1068","1027","1049.59","442800","1.99","464759","23616","736","1336","20250214","1408","24.79","20250407","803","31.88"
"3656","KLab","東証PR","情報通信","20250502","113","1","0.89","112","112","114","111","112.35","528800","1.02","59410","5863","62","162","20250106","175","35.43","20250407","107","5.61"
"3657","ポールトゥウィンホールディングス","東証PR","情報通信","20250502","358","-6","-1.65","364","364","367","358","360.62","62500","0.16","22539","13660","284","444","20250219","458","21.83","20250407","299","19.73"
"3659","ネクソン","東証PR","情報通信","20250502","2291.5","58.5","2.62","2233","2230.5","2295","2229","2278.86","1847400","0.22","4209963","1885836","1733","2733","20250106","2390","4.12","20250407","1826","25.49"
"3660","アイスタイル","東証PR","情報通信","20250502","463","-8","-1.7","471","470","474","459","465.01","921900","1.12","428691","37964","391","551","20250213","596","22.32","20250407","366","26.5"
"3661","エムアップホールディングス","東証PR","情報通信","20250502","1819","-9","-0.49","1828","1826","1843","1788","1815.75","197100","0.54","357884","66387","1428","2228","20250421","1907","4.61","20250122","1464","24.25"
"3662","エイチームホールディングス","東証PR","情報通信","20250502","1032","-23","-2.18","1055","1052","1058","1032","1041.71","56500","0.29","58857","20422","755","1355","20250428","1063","2.92","20250407","807","27.88"
"3663","セルシス","東証PR","情報通信","20250502","1286","20","1.58","1266","1271","1300","1271","1287.87","215900","0.6","278052","46645","966","1566","20250129","1475","12.81","20250407","999","28.73"
"3664","モブキャストホールディングス","東証GR","情報通信","20250502","32","0","0","32","32","33","32","32.24","433200","0.76","13965","1814","2","62","20250317","48","33.33","20250407","26","23.08"
"3665","エニグモ","東証PR","情報通信","20250502","285","0","0","285","285","286","282","284.33","187600","0.44","53341","12153","205","365","20250317","353","19.26","20250407","246","15.85"
"3667","enish","東証ST","情報通信","20250502","89","-1","-1.11","90","89","92","87","89.34","2668900","9.18","238442","2588","60","120","20250218","150","40.67","20250407","85","4.71"
"3668","コロプラ","東証PR","情報通信","20250502","470","2","0.43","468","469","475","466","470.42","148500","0.11","69858","61208","388","548","20250210","516","8.91","20250407","407","15.48"
"3670","協立情報通信","東証ST","情報通信","20250502","1563","-23","-1.45","1586","1616","1650","1563","1599.13","3100","0.26","4957","1884","1186","1986","20250411","1804","13.36","20250318","1465","6.69"
"3671","ソフトマックス","東証GR","情報通信","20250502","853","-8","-0.93","861","857","860","851","854.94","5100","0.09","4360","5117","711","1011","20250424","929","8.18","20250407","730","16.85"
"3672","オルトプラス","東証ST","情報通信","20250502","57","-2","-3.39","59","58","59","57","57.91","825200","2.09","47785","2246","29","89","20250312","95","40","20250407","42","35.71"
"3673","ブロードリーフ","東証PR","情報通信","20250502","704","19","2.77","685","684","719","683","706.4","346300","0.35","244627","68919","585","785","20250313","730","3.56","20250407","521","35.12"
"3674","オークファン","東証GR","情報通信","20250502","357","-7","-1.92","364","363","363","353","358.2","15700","0.15","5624","3860","284","444","20250127","395","9.62","20250407","306","16.67"
"3675","クロス・マーケティンググループ","東証PR","情報通信","20250502","670","-1","-0.15","671","675","675","659","667.89","38200","0.19","25514","13380","571","771","20250106","840","20.24","20250407","562","19.22"
"3676","デジタルハーツホールディングス","東証PR","情報通信","20250502","975","-9","-0.91","984","981","990","964","974.57","46700","0.2","45513","23294","834","1134","20250212","1211","19.49","20250117","784","24.36"
