"SC","名称","市場","業種","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","VWAP","出来高","出来高率(％)","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率(％)","安値日付","年初来安値","年初来安値乖離率(％)"
"1888","若築建設","東証PR","建設","20250502","3900","-10","-0.26","3910","3935","3935","3865","3891.97","6100","0.05","23741","50563","3210","4610","20250428","4090","4.65","20250221","3375","15.56"
"1890","東洋建設","東証PR","建設","20250502","1346","6","0.45","1340","1340","1352","1334","1343.36","330200","0.35","443576","127024","1040","1640","20250212","1414","4.81","20250407","1137","18.38"
"1893","五洋建設","東証PR","建設","20250502","820.9","4.3","0.53","816.6","811","825.5","810.5","820.46","1251400","0.44","1026724","234789","666.6","966.6","20250502","825.5","0.56","20250210","623","31.77"
"1897","金下建設","東証ST","建設","20250502","2660","-41","-1.52","2701","2751","2751","2655","2676.3","2300","0.06","6156","10126","2201","3205","20250221","2949","9.8","20250407","2562","3.83"
"1898","世紀東急工業","東証PR","建設","20250502","1532","-2","-0.13","1534","1539","1544","1527","1534","72500","0.19","111215","57334","1134","1934","20250306","1600","4.25","20250407","1298","18.03"
"1899","福田組","東証PR","建設","20250502","5200","-20","-0.38","5220","5200","5310","5100","5192.25","8900","0.1","46211","46738","4220","6220","20250310","5590","6.98","20250407","4375","18.86"
"189A","D＆Mカンパニー","東証GR","サービス","20250502","817","14","1.74","803","818","818","805","815.2","500","0.02","408","1853","653","953","20250325","875","6.63","20250407","692","18.06"
"1904","大成温調","東証ST","建設","20250502","3760","10","0.27","3750","3770","3775","3735","3756.17","9800","0.14","36811","25878","3050","4450","20250321","3960","5.05","20250407","3120","20.51"
"1905","テノックス","東証ST","建設","20250502","1070","0","0","1070","1083","1083","1070","1074.73","3700","0.05","3977","7862","770","1370","20250207","1225","12.65","20250407","963","11.11"
"1909","日本ドライケミカル","東証ST","機械","20250502","4185","-10","-0.24","4195","4140","4205","4130","4184.36","28300","0.39","118418","30056","3495","4895","20250106","4585","8.72","20250407","3070","36.32"
