SC,名称,市場,業種,時価総額(百万円),発行済株式数,配当利回り（予想）,1株配当（予想）,PER（予想）,PBR（実績）,EPS（予想）,BPS（実績）,最低購入額,単元株,高値日付,年初来高値,安値日付,年初来安値
6932,遠藤照明,東証ST,電気機器,27129,14776321,4.58,84,6.62,0.62,277.47,2981.3,183600,100,20250502,1840,20250407,1130
6941,山一電機,東証PR,電気機器,44817,21829775,4.34,89,8.33,1,246.41,2044.42,205300,100,20250123,2550,20250407,1650
6958,日本シイエムケイ,東証PR,電気機器,28075,71256476,5.08,20,6.1,0.38,64.57,1049.6,39400,100,20250210,547,20250407,311
6962,大真空,東証PR,電気機器,16969,32138881,5.3,28,34.09,0.44,15.49,1195.9,52800,100,20250122,657,20250407,447
6963,ローム,東証PR,電気機器,533973,403760000,3.78,50,-,0.53,-15.55,2498.78,132250,100,20250220,1684,20250409,1069
6964,サンコー,東証ST,電気機器,5292,9000000,3.4,20,9.49,0.33,61.98,1770.51,58800,100,20250321,600,20250407,515
6973,協栄産業,東証ST,卸売,7217,3193545,4.87,110,4.31,0.37,523.96,6134.97,226000,100,20250326,2510,20250407,1961
6976,太陽誘電,東証PR,電気機器,284527,130218481,4.12,90,54.49,0.81,40.1,2682.33,218500,100,20250212,2777,20250409,1740
6977,日本抵抗器製作所,東証ST,電気機器,1075,1240000,3.46,30,17.88,0.71,48.5,1218.38,86700,100,20250423,910,20250407,680
6981,村田製作所,東証PR,電気機器,3908337,1963001843,3.01,60,20.95,1.44,95.04,1385.77,199100,100,20250212,2798,20250501,1826
6989,北陸電気工業,東証ST,電気機器,14222,8450099,4.75,80,7.62,0.62,220.87,2733.24,168300,100,20250502,1697,20250407,1290
6995,東海理化電機製作所,東証PR,輸送用機器,196384,94234171,4.56,95,12.66,0.56,164.63,3716.86,208400,100,20250326,2445,20250407,1859
6998,日本タングステン,東証ST,電気機器,6053,5155520,4.26,50,9.49,0.46,123.77,2572.43,117400,100,20250204,1350,20250407,1000
6999,KOA,東証PR,電気機器,31033,37479724,3.62,30,99.16,0.39,8.35,2104.37,82800,100,20250127,1044,20250407,727
7030,スプリックス,東証ST,サービス,16980,17968200,4.02,38,19.52,1.67,48.41,564.66,94500,100,20250423,1025,20250407,767
7039,ブリッジインターナショナル,東証GR,サービス,6972,3768600,4.59,85,10.54,1.52,175.53,1216.1,185000,100,20250325,1932,20250107,1400
7040,サン・ライフホールディング,東証ST,サービス,6274,6820000,3.59,33,7.04,0.89,130.65,1028.23,92000,100,20250217,972,20250407,860
7050,フロンティアインターナショナル,東証GR,サービス,8083,4619000,5.37,94,9.35,0.9,187.2,1934.2,175000,100,20250402,2170,20250203,1590
7058,共栄セキュリティーサービス,東証ST,サービス,3772,1506500,3.59,90,10.93,0.75,228.99,3318.19,250400,100,20250422,2626,20250407,2311
